
There are 4878 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
37 instances of CDS,OG0001087
37 instances of CDS,OG0001088
37 instances of CDS,OG0001089
37 instances of CDS,OG0001090
37 instances of CDS,OG0001091
37 instances of CDS,OG0001092
37 instances of CDS,OG0001093
37 instances of CDS,OG0001094
37 instances of CDS,OG0001095
37 instances of CDS,OG0001096
37 instances of CDS,OG0001097
37 instances of CDS,OG0001098
37 instances of CDS,OG0001100
37 instances of CDS,OG0001101
37 instances of CDS,OG0001102
37 instances of CDS,OG0001103
37 instances of CDS,OG0001106
37 instances of CDS,OG0001107
37 instances of CDS,OG0001108
37 instances of CDS,OG0001109
37 instances of CDS,OG0001110
37 instances of CDS,OG0001111
37 instances of CDS,OG0001112
37 instances of CDS,OG0001113
37 instances of CDS,OG0001114
37 instances of CDS,OG0001115
37 instances of CDS,OG0001116
37 instances of CDS,OG0001117
36 instances of CDS,OG0001118
37 instances of CDS,OG0001119
37 instances of CDS,OG0001120
37 instances of CDS,OG0001121
37 instances of CDS,OG0001122
36 instances of CDS,OG0001123
37 instances of CDS,OG0001124
37 instances of CDS,OG0001126
37 instances of CDS,OG0001127
37 instances of CDS,OG0001128
37 instances of CDS,OG0001129
35 instances of CDS,OG0001130
36 instances of CDS,OG0001131
37 instances of CDS,OG0001132
37 instances of CDS,OG0001133
37 instances of CDS,OG0001134
37 instances of CDS,OG0001135
37 instances of CDS,OG0001136
36 instances of CDS,OG0001138
37 instances of CDS,OG0001139
37 instances of CDS,OG0001141
37 instances of CDS,OG0001142
37 instances of CDS,OG0001143
37 instances of CDS,OG0001145
37 instances of CDS,OG0001146
37 instances of CDS,OG0001147
37 instances of CDS,OG0001148
37 instances of CDS,OG0001149
37 instances of CDS,OG0001150
37 instances of CDS,OG0001151
37 instances of CDS,OG0001152
36 instances of CDS,OG0001154
37 instances of CDS,OG0001155
36 instances of CDS,OG0001156
37 instances of CDS,OG0001157
37 instances of CDS,OG0001160
37 instances of CDS,OG0001161
37 instances of CDS,OG0001162
36 instances of CDS,OG0001163
37 instances of CDS,OG0001164
37 instances of CDS,OG0001165
37 instances of CDS,OG0001166
36 instances of CDS,OG0001167
37 instances of CDS,OG0001168
37 instances of CDS,OG0001169
36 instances of CDS,OG0001176
36 instances of CDS,OG0001177
36 instances of CDS,OG0001178
33 instances of CDS,OG0001179
36 instances of CDS,OG0001180
36 instances of CDS,OG0001181
36 instances of CDS,OG0001182
36 instances of CDS,OG0001183
36 instances of CDS,OG0001184
36 instances of CDS,OG0001185
36 instances of CDS,OG0001186
36 instances of CDS,OG0001187
36 instances of CDS,OG0001188
36 instances of CDS,OG0001189
36 instances of CDS,OG0001190
36 instances of CDS,OG0001191
36 instances of CDS,OG0001192
36 instances of CDS,OG0001194
36 instances of CDS,OG0001196
36 instances of CDS,OG0001197
36 instances of CDS,OG0001198
36 instances of CDS,OG0001199
36 instances of CDS,OG0001200
36 instances of CDS,OG0001201
36 instances of CDS,OG0001202
36 instances of CDS,OG0001203
36 instances of CDS,OG0001204
36 instances of CDS,OG0001205
36 instances of CDS,OG0001206
36 instances of CDS,OG0001207
36 instances of CDS,OG0001209
36 instances of CDS,OG0001210
36 instances of CDS,OG0001214
36 instances of CDS,OG0001215
36 instances of CDS,OG0001216
36 instances of CDS,OG0001217
36 instances of CDS,OG0001218
36 instances of CDS,OG0001220
36 instances of CDS,OG0001221
36 instances of CDS,OG0001222
36 instances of CDS,OG0001223
36 instances of CDS,OG0001224
36 instances of CDS,OG0001225
36 instances of CDS,OG0001226
35 instances of CDS,OG0001227
36 instances of CDS,OG0001229
36 instances of CDS,OG0001230
35 instances of CDS,OG0001231
36 instances of CDS,OG0001233
35 instances of CDS,OG0001234
36 instances of CDS,OG0001236
35 instances of CDS,OG0001237
36 instances of CDS,OG0001238
36 instances of CDS,OG0001239
36 instances of CDS,OG0001240
36 instances of CDS,OG0001241
36 instances of CDS,OG0001242
36 instances of CDS,OG0001243
36 instances of CDS,OG0001244
35 instances of CDS,OG0001245
36 instances of CDS,OG0001247
36 instances of CDS,OG0001248
36 instances of CDS,OG0001249
36 instances of CDS,OG0001250
36 instances of CDS,OG0001251
36 instances of CDS,OG0001253
36 instances of CDS,OG0001254
35 instances of CDS,OG0001255
36 instances of CDS,OG0001256
36 instances of CDS,OG0001258
36 instances of CDS,OG0001259
36 instances of CDS,OG0001260
36 instances of CDS,OG0001261
36 instances of CDS,OG0001262
36 instances of CDS,OG0001263
